2,Deposito,1231.0,14/06/2023 20:23:12,49731.0
2,Saque,5555.0,14/06/2023 20:23:17,44176.0
2,pagamento progamado,-123.0,14/06/2023 20:30:44,41053.0
1,pagamento progamado,123.0,14/06/2023 20:30:44,4623.0
2,Credito do banco,40000.0,14/06/2023 22:13:10,None
2,Credito do banco,40000.0,14/06/2023 22:19:10,None
2,Credito do banco,40000.0,14/06/2023 22:23:55,41053.0
2,Credito do banco,99999.0,14/06/2023 22:25:02,41053.0
2,Credito do banco,99999.0,14/06/2023 22:26:48,141052.0
2,Crédito do banco,40000.0,15/06/2023 19:01:21,301052.0
2,Saque,12312.0,15/06/2023 19:03:52,288740.0
2,Deposito,500.0,15/06/2023 19:04:01,289240.0
2,Crédito do banco,5000.0,15/06/2023 19:09:55,294240.0
